name	ring	quadrant	isNew	description
API expand-contract	Adopt	Techniques	TRUE	<p>The <strong>API expand-contract</strong> pattern, sometimes called <a href="https://www.martinfowler.com/bliki/ParallelChange.html">parallel change</a>, will be familiar to many, especially when used with databases or code; however, we only see low levels of adoption with APIs. Specifically, we're seeing complex versioning schemes and breaking changes used in scenarios where a simple expand and then contract would suffice. For example, first adding to an API while deprecating an existing element, and then only later removing the deprecated elements once consumers are switched to the newer schema. This approach does require some coordination and visibility of the API consumers, perhaps through a technique such as <a href="https://martinfowler.com/articles/consumerDrivenContracts.html">consumer-driven contract</a> testing.</p>
Continuous delivery for machine learning (CD4ML)	Adopt	Techniques	FALSE	<p>We see <strong><a href="https://martinfowler.com/articles/cd4ml.html">continuous delivery for machine learning (CD4ML)</a></strong> as a good default starting point for any ML solution that is being deployed into production. Many organizations are becoming more reliant on ML solutions for both customer offerings and internal operations so it makes sound business sense to apply the lessons and good practice captured by <a href="/radar/techniques/continuous-delivery-cd">continuous delivery (CD)</a> to ML solutions.</p>
Design systems	Adopt	Techniques	FALSE	<p>As application development becomes increasingly dynamic and complex, it's a challenge to deliver accessible and usable products with consistent style. This is particularly true in larger organizations with multiple teams working on different products. <strong>Design systems</strong> define a collection of design patterns, component libraries and good design and engineering practices that ensure consistent digital products. Built on the corporate style guides of the past, design systems offer shared libraries and documents that are easy to find and use. Generally, guidance is written down as code and kept under version control so that the guide is less ambiguous and easier to maintain than simple documents. Design systems have become a standard approach when working across teams and disciplines in product development because they allow teams to focus. They can address strategic challenges around the product itself without reinventing the wheel every time a new visual component is needed.</p>
Platform engineering product teams	Adopt	Techniques	FALSE	<p>As noted in one of the themes for this edition, the industry is increasingly gaining experience with <strong>platform engineering product teams</strong> that create and support internal platforms. These platforms are used by teams across an organization and accelerate application development, reduce operational complexity and improve time to market. With increasing adoption we're also clearer on both good and bad patterns for this approach. When creating a platform, itâ€™s critical to have clearly defined customers and products that will benefit from it rather than building in a vacuum. We caution against <a href="/radar/techniques/layered-platform-teams">layered platform teams</a> that simply preserve existing technology silos but apply the "platform team" label as well as against ticket-driven platform operating models. We're still big fans of using concepts from <a href="https://teamtopologies.com/">Team Topologies</a> as we think about how best to organize platform teams. We consider platform engineering product teams to be a standard approach and a significant enabler for high-performing IT.</p>
Service account rotation approach	Adopt	Techniques	TRUE	<p>We strongly advise organizations to make sure, when they really need to use cloud service accounts, that they are rotating the credentials. Rotation is one of <a href="/radar/techniques/the-three-rs-of-security">the three R's of security</a>. It is far too easy for organizations to forget about these accounts unless an incident occurs. This is leading to accounts with unnecessarily broad permissions remaining in use for long periods alongside a lack of planning for how to replace or rotate them. Regularly applying a cloud <strong>service account rotation approach</strong> also provides a chance to exercise the principle of least privilege.</p>
Cloud sandboxes	Trial	Techniques	TRUE	<p>As the cloud is becoming more and more a commodity and being able to spin up <strong>cloud sandboxes</strong> is easier and available at scale, our teams prefer cloud-only (as opposed to local) development environments to reduce maintenance complexity. We're seeing that the tooling to do local simulation of cloud-native services limits the confidence in developer build and test cycles; therefore, we're looking to focus on standardizing cloud sandboxes over running cloud-native components on a developer machine. This will drive good <a href="/radar/techniques/infrastructure-as-code">infrastructure-as-code</a> practices as a forcing function and good onboarding processes for provisioning sandbox environments for developers. There are risks associated with this transition, as it assumes that developers will have an absolute dependency on cloud environment availability, and it may slow down the developer feedback loop. We strongly recommend you adopt some lean governance practices regarding standardization of these sandbox environments, especially with regard to security, IAM and regional deployments.</p>
Contextual bandits	Trial	Techniques	TRUE	<p><a href="https://towardsdatascience.com/contextual-bandits-and-reinforcement-learning-6bdfeaece72a"><strong>Contextual bandits</strong></a> is a type of reinforcement learning that is well suited for problems with exploration/exploitation trade-offs. Named after "bandits," or slot machines, in casinos, the algorithm explores different options to learn more about expected outcomes and balances it by exploiting the options that perform well. We've successfully used this technique in scenarios where we've had little data to train and deploy other machine-learning models. The fact that we can add context to this explore/exploit trade-off makes it suitable for a wide variety of use cases including A/B testing, recommendations and layout optimizations.</p>
Distroless Docker images	Trial	Techniques	FALSE	<p>When building <a href="/radar/platforms/docker">Docker</a> images for our applications, we're often concerned with two things: the security and the size of the image. Traditionally, we've used <a href="/radar/techniques/container-security-scanning">container security scanning</a> tools to detect and patch <a href="https://cve.mitre.org/">common vulnerabilities and exposures</a> and small distributions such as <a href="https://alpinelinux.org/">Alpine Linux</a> to address the image size and distribution performance. But with rising security threats, eliminating all possible attack vectors is more important than ever. That's why <strong>distroless Docker images</strong> are becoming the default choice for deployment containers. Distroless Docker images reduce the footprint and dependencies by doing away with a full operating system distribution. This technique reduces security scan noise and the application attack surface. Moreover, fewer vulnerabilities need to be patched and as a bonus, these smaller images are more efficient. Google has published a set of <a href="https://github.com/GoogleContainerTools/distroless">distroless container images</a> for different languages. You can create distroless application images using the Google build tool <a href="https://bazel.build/">Bazel</a> or simply use multistage Dockerfiles. Note that distroless containers by default don't have a shell for debugging. However, you can easily find debug versions of distroless containers online, including a <a href="https://busybox.net/downloads/BusyBox.html">BusyBox shell</a>. Distroless Docker images is a technique pioneered by Google and, in our experience, is still largely confined to Google-generated images. We would be more comfortable if there were more than one provider to choose from. Also, use caution when applying  <a href="/radar/tools/trivy">Trivy</a> or similar vulnerability scanners since distroless containers are only supported in more recent versions.</p>
Ethical Explorer	Trial	Techniques	TRUE	<p>The group behind <a href="/radar/techniques/ethical-os">Ethical OS</a> â€” the Omidyar Network, a self-described social change venture created by eBay founder Pierre Omidyar â€” has released a new iteration called <strong><a href="https://ethicalexplorer.org/">Ethical Explorer</a></strong>. The new Ethical Explorer pack draws on lessons learned from using Ethical OS and adds further questions for product teams to consider. The kit, which can be <a href="https://ethicalexplorer.org/download/">downloaded for free</a> and folded into cards to trigger discussion, has open-ended question prompts for several technical "risk zones," including surveillance ("can someone use our product or service to track or identify other users?"), disinformation, exclusion, algorithmic bias, addiction, data control, bad actors and outsized power. The included field guide has activities and workshops, ideas for starting conversations and tips for gaining organizational buy-in. While we've a long way to go as an industry to better represent the ethical externalities of our digital society, we've had some productive conversations using Ethical Explorer, and we're encouraged by the broadening awareness of the importance of product decisions in addressing societal issues.</p>
Hypothesis-driven legacy renovation	Trial	Techniques	TRUE	<p>We're often asked to refresh, update or remediate legacy systems that we didn't originally build. Sometimes, technical issues need our attention such as improving performance or reliability. One common approach to address these issues is to create "technical stories" using the same format as a user story but with a technical outcome rather than a business one. But these technical tasks are often difficult to estimate, take longer than anticipated or don't end up having the desired outcome. An alternative, more successful method is to apply <strong>hypothesis-driven legacy renovation</strong>. Rather than working toward a standard backlog, the team takes ownership of a measurable technical outcome and collectively establishes a set of hypotheses about the problem. They then conduct iterative, time-boxed experiments to verify or disprove each hypothesis in order of priority. The resulting workflow is optimized for reducing uncertainty rather than following a plan toward a predictable outcome.</p>
